# Wing Angle Data Export
# Generated on: 2025-10-08 23:11:16
# Original time range: [11.800, 12.500] seconds
# Time normalized to start from 0
# Raw forewing points: 32
# Raw hindwing points: 30
# Interpolated forewing points: 320
# Interpolated hindwing points: 300
# Columns:
# - time: Time in seconds (normalized to start from 0)
# - forewing_angle: Forewing angle in degrees
# - hindwing_angle: Hindwing angle in degrees
# - data_type: 'raw' for original data points, 'interpolated' for smoothed curve
time,forewing_angle,hindwing_angle,data_type
0.007852999999999,-40.39932019461753,,raw
0.007852999999999,-37.31071864594388,,interpolated
0.00970771159874495,-38.258958373315586,,interpolated
0.0115624231974909,-39.11812616517005,,interpolated
0.013417134796236851,-39.88877789648755,,interpolated
0.015271846394982802,-40.57146944224835,,interpolated
0.016201999999999828,-40.14250920442572,,raw
0.017126557993728753,-41.16675667743274,,interpolated
0.018981269592474703,-41.67519547702099,,interpolated
0.02083598119122243,-42.09734171599338,,interpolated
0.02269069278996838,-42.43375126933019,,interpolated
0.024516999999999456,-41.01188295282503,,raw
0.02454540438871433,-42.68498001201169,,interpolated
0.026400115987460282,-42.851583819018174,,interpolated
0.028254827586206233,-42.9341185653299,,interpolated
0.030109539184952183,-42.93314012592714,,interpolated
0.031964250783698134,-42.849204375790194,,interpolated
0.032868999999999815,-41.847525012929225,,raw
0.033818962382444084,-42.682867189899326,,interpolated
0.035673673981190035,-42.434684443234815,,interpolated
0.037528385579935986,-42.10521201077693,,interpolated
0.039383097178681936,-41.69500576750596,,interpolated
0.041181999999999164,-41.07637360948968,,raw
0.04123780877742789,-41.20462158840218,,interpolated
0.04309252037617384,-40.63461534844586,,interpolated
0.044947231974921564,-39.98554292261729,,interpolated
0.046801943573667515,-39.25796018589674,,interpolated
0.048656655172413465,-38.45242301326448,,interpolated
0.04953199999999924,-39.80917931159257,,raw
0.050511366771159416,-37.569487279700795,,interpolated
0.05236607836990537,-36.60970886018596,,interpolated
0.05422078996865132,-35.57364362969942,,interpolated
0.05607550156739727,-34.47225742875692,,interpolated
0.0578479999999999,,4.844821406739354,interpolated
0.0578479999999999,-35.5872481575298,,raw
0.0578479999999999,,4.851693801000934,raw
0.05793021316614322,-33.270648064441794,,interpolated
0.05978492476488917,-31.971047140929574,,interpolated
0.05991033110367816,,4.783030638553349,interpolated
0.06163963636363512,-30.576410622669645,,interpolated
0.0619726622073582,,4.701574069940527,interpolated
0.06349434796238107,-29.0903914248442,,interpolated
0.06403499331103646,,4.601332735795232,interpolated
0.06534905956112702,-27.5173095563584,,interpolated
0.06609732441471472,,4.483187671011807,interpolated
0.06619799999999998,-27.353180223048597,,raw
0.06619799999999998,,4.357145275832636,raw
0.06720377115987297,-25.862119815361716,,interpolated
0.06815965551839476,,4.348019910484593,interpolated
0.06905848275861892,-24.130377037300565,,interpolated
0.07022198662207302,,4.196710489107935,interpolated
0.07091319435736665,-22.328198895502055,,interpolated
0.07228431772575306,,4.030140441776174,interpolated
0.0727679059561126,-20.462226253812577,,interpolated
0.07434664882943132,,3.849190803383653,interpolated
0.07451199999999858,,3.8797004785562024,raw
0.07462261755485855,-18.539442220377676,,interpolated
0.07640897993310958,,3.654742608824716,interpolated
0.0764773291536045,-16.56657141892253,,interpolated
0.07833204075235045,-14.549781417529482,,interpolated
0.07847131103678961,,3.447676892993705,interpolated
0.0801867523510964,-12.494480239014104,,interpolated
0.08053364214046788,,3.228874690784963,interpolated
0.08204146394984235,-10.405157865991002,,interpolated
0.08259597324414614,,2.999217037092833,interpolated
0.0838961755485883,-8.286307693868524,,interpolated
0.08465830434782617,,2.759584966811657,interpolated
0.08575088714733425,-6.1435142811457455,,interpolated
0.08672063545150444,,2.5108595148357793,interpolated
0.0876055987460802,-3.983694093469019,,interpolated
0.08878296655518447,,2.2539217160595406,interpolated
0.08946031034482615,-1.8153075321788783,,interpolated
0.09084529765886273,,1.9896526053772856,interpolated
0.0913150219435721,0.35191778661446377,,interpolated
0.092907628762541,,1.7189332176833565,interpolated
0.09316973354231806,2.5086670798134896,,interpolated
0.09496995986622103,,1.442644587872096,interpolated
0.09502444514106578,4.646648502128905,,interpolated
0.09687915673981173,6.758873129368499,,interpolated
0.09703229096989929,,1.1616677508378461,interpolated
0.09873386833855768,8.83992405168159,,interpolated
0.09909462207357755,,0.8768837414749515,interpolated
0.09953199999999995,,0.7923503556224887,raw
0.10058857993730363,10.885814205963293,,interpolated
0.10115695317725759,,0.5891735946777539,interpolated
0.10244329153604959,12.89380448924034,,interpolated
0.10321928428093585,,0.2994183453405954,interpolated
0.10429800313479554,14.862547060693156,,interpolated
0.10528161538461589,,0.008499028357819682,interpolated
