filename,flap_deg,aoa_deg,mean_FX,mean_FY,mean_FZ,mean_TX,mean_TY,mean_TZ,CL,CD,CL_CD,CM,L,D,L_D,M
f_pa0fa-10.csv,-10,-4.21,-0.3184934118325009,0.5204870082322596,0.3255721688710828,0.006768493990450579,0.0036116237308599967,-0.00024243916360243675,0.2682427554724711,-0.5805369334614137,-0.4620597588392717,0.29742934992447906,0.03257216887108283,-0.07049341183250091,-0.4620597588392717,0.0036116237308599967
f_pa0fa-20.csv,-20,-8.31,-0.3460143014440433,0.5201192924187725,0.2459330523465704,0.006513557761732852,0.005469203971119134,2.2615523465703973e-05,-0.38761212924458205,-0.8071807069132866,0.48020489826477264,0.4504073245047026,-0.047066947653429586,-0.09801430144404333,0.48020489826477264,0.005469203971119134
f_pa0fa-30.csv,-30,-12.2,-0.3787318971650917,0.5204220194552529,0.18257517565314066,0.006069020381693533,0.006533198443579767,0.0003330298313878081,-0.9093855331709892,-1.0766211013611922,0.8446662730474409,0.5380308445195767,-0.11042482434685932,-0.1307318971650917,0.844666273047441,0.006533198443579767
f_pa0fa-40.csv,-40,-15.76,-0.41626484660260804,0.519115697666438,0.1649870799588195,0.005885633493479754,0.006284793754289636,0.0007456568291008922,-1.0542294111218582,-1.3857175517073805,0.7607823180293223,0.5175738836732808,-0.12801292004118048,-0.16826484660260804,0.7607823180293223,0.006284793754289636
f_pa0fa-50.csv,-50,-18.89,-0.440222207483809,0.4986902213960182,0.19163217822019668,0.0049865341808587186,0.005567355241065004,0.0013517136003837853,-0.8347980737198255,-1.5830144686568381,0.5273470901552391,0.4584904113901991,-0.1013678217798033,-0.19222220748380903,0.5273470901552391,0.005567355241065004
f_pa0fa-60.csv,-60,-21.47,-0.4514671648299896,0.5009261541866818,0.2388678866911557,0.0053332281247056605,0.005169166619572383,0.0013634484317603843,-0.4457961424362988,-1.6756204709052114,0.26604839829598687,0.42569824042678767,-0.05413211330884429,-0.2034671648299896,0.2660483982959869,0.005169166619572383
f_pa0fa0.csv,0,0.0,-0.2813364970638379,0.5252662526993749,0.42101092744838037,0.006755819473385111,0.0010765398749763213,-0.0004750219738586854,1.0542130014506033,-0.27453725496746584,-3.8399633651743668,0.08865667606679026,0.12801092744838038,-0.0333364970638379,-3.8399633651743668,0.0010765398749763213
f_pa0fa10.csv,10,4.21,-0.28531628481806776,0.5135515094102886,0.5067326411543288,0.0057000464240903395,-0.0004925872020075283,-0.00041110414052697615,1.760160117815946,-0.3073121444019232,-5.7275970048026865,-0.040566211264574444,0.21373264115432883,-0.03731628481806776,-5.727597004802686,-0.0004925872020075283
f_pa0fa20.csv,20,8.31,-0.2954373941075187,0.49790858025636114,0.5619841865314712,0.00371107193418787,-0.0023670552898412095,-0.0003651918882724316,2.2151751594834566,-0.3906628802705011,-5.670298539624841,-0.19493495683868675,0.2689841865314712,-0.04743739410751868,-5.670298539624841,-0.0023670552898412095
f_pa0fa30.csv,30,12.2,-0.31034449232058087,0.48672461984548077,0.5963986071860746,0.0019580198268640044,-0.0038491047193521363,-0.0004108370101461417,2.4985894774220783,-0.5134278431011023,-4.866486130418262,-0.3169867073045128,0.30339860718607464,-0.06234449232058087,-4.866486130418262,-0.0038491047193521363
f_pa0fa40.csv,40,15.76,-0.3318159456286333,0.49392036942892964,0.5893000691895589,0.0045689817622250085,-0.004389844067023823,-0.00032747543599680835,2.440130631787704,-0.6902524758772072,-3.535127677284554,-0.3615184095641719,0.2963000691895589,-0.08381594562863331,-3.5351276772845535,-0.004389844067023823
f_pa0fa50.csv,50,18.89,-0.3479929517652012,0.4963979971732724,0.5487799237986407,0.005207832020208095,-0.004961799963914116,-0.0005085137427076441,2.1064336190151027,-0.8234755571691771,-2.5579795303898147,-0.4086208995450549,0.25577992379864073,-0.09999295176520118,-2.557979530389815,-0.004961799963914116
f_pa0fa60.csv,60,21.47,-0.3556148400787491,0.4938367576950744,0.4778980224510657,0.003833821868019536,-0.006955719229167456,0.00017938128951652596,1.5226973438577742,-0.8862443685191826,-1.718146143373565,-0.5728268509565491,0.18489802245106574,-0.10761484007874911,-1.718146143373565,-0.006955719229167456
