experiment_name,normalized_time,Fx,Fy,Fz
4_veins_complete_new,0.0,0.2867628399727879,0.0379993571094781,-0.16445794197978908
4_veins_complete_new,0.0050251256281407,0.3524784042813044,0.016462035025083,-0.1363621828393209
4_veins_complete_new,0.0100502512562814,0.4181939685898209,-0.005075287059312102,-0.10826642369885242
4_veins_complete_new,0.0150753768844221,0.4839095328983373,-0.026612609143707097,-0.08017066455838429
4_veins_complete_new,0.0201005025125628,0.5366924599729703,-0.041561540141112005,-0.05190692229337779
4_veins_complete_new,0.0251256281407035,0.5728943349082974,-0.047828504779778694,-0.02421079133251719
4_veins_complete_new,0.0301507537688442,0.6090962098436244,-0.0540954694184454,0.003485339628343187
4_veins_complete_new,0.0351758793969849,0.6452725996111948,-0.060319250686458104,0.03114211332625222
4_veins_complete_new,0.0402010050251256,0.6524721762649905,-0.0666577119653098,0.056750921554467426
4_veins_complete_new,0.0452261306532663,0.6562919796581173,-0.0731983799280952,0.08192020263709698
4_veins_complete_new,0.050251256281407,0.6601117830512436,-0.07973904789088053,0.1070894837197266
4_veins_complete_new,0.0552763819095477,0.65827182330891,-0.0932624901662489,0.12875408125905058
4_veins_complete_new,0.0603015075376884,0.6485035652424463,-0.12211434714986201,0.14673290300978598
4_veins_complete_new,0.0653266331658291,0.6386435779273129,-0.1510436586669987,0.1646657574515521
4_veins_complete_new,0.0703517587939698,0.6287764953712588,-0.1800070796804596,0.18256391348446227
4_veins_complete_new,0.0753768844221105,0.6192730063927686,-0.2179914041072133,0.19191951249877592
4_veins_complete_new,0.0804020100502512,0.6105175507527422,-0.2563799469635458,0.1998679214686902
4_veins_complete_new,0.0854271356783919,0.601767714438235,-0.29474317174658093,0.2078126172736458
4_veins_complete_new,0.0904522613065326,0.5945427444497738,-0.3276572755884722,0.21586313076067087
4_veins_complete_new,0.0954773869346733,0.5883437365223835,-0.3420803416298984,0.2210489422130966
4_veins_complete_new,0.100502512562814,0.5813370349129596,-0.3539463318631509,0.2256009418574984
4_veins_complete_new,0.1055276381909547,0.5743276657637545,-0.3657164068081012,0.2302397022395043
4_veins_complete_new,0.1105527638190954,0.5694056104890601,-0.35481413841099285,0.24170247536567888
4_veins_complete_new,0.1155778894472361,0.5608757237218328,-0.33184278243902865,0.2546368789165937
4_veins_complete_new,0.1206030150753768,0.5523045858030694,-0.3092505700740968,0.2676516307638942
4_veins_complete_new,0.1256281407035175,0.5429408909213491,-0.2863098084725726,0.28211888280424124
4_veins_complete_new,0.1306532663316583,0.5333233802684498,-0.2575960261298469,0.3046187091272198
4_veins_complete_new,0.135678391959799,0.5227861778403853,-0.2303996290414103,0.3301346572218636
4_veins_complete_new,0.1407035175879397,0.5117550219596204,-0.2037918511822836,0.35554984947988577
4_veins_complete_new,0.1457286432160804,0.4961253651866364,-0.1910501297467891,0.3806447713829887
4_veins_complete_new,0.1507537688442211,0.4791886867835665,-0.1872917981478685,0.4076833867475545
4_veins_complete_new,0.1557788944723618,0.46192451841837917,-0.1831860023714569,0.4360193747734362
4_veins_complete_new,0.1608040201005025,0.4456605040079701,-0.1796296783196353,0.4634821312554553
4_veins_complete_new,0.1658291457286432,0.4151255999901145,-0.1959297158031643,0.48481839558098777
4_veins_complete_new,0.1708542713567839,0.3858529240074845,-0.2123052097741438,0.5031391793090919
4_veins_complete_new,0.1758793969849246,0.3573394443758202,-0.22638275984976497,0.5205334623901339
4_veins_complete_new,0.1809045226130653,0.32733898981246135,-0.23844017581958443,0.5338057346906439
4_veins_complete_new,0.185929648241206,0.29284859669928587,-0.2515313852486511,0.5422589087967814
4_veins_complete_new,0.1909547738693467,0.2599026776295251,-0.2647803222564764,0.5447489168970356
4_veins_complete_new,0.1959798994974874,0.2280788572692295,-0.27502766324004546,0.5468206104448414
4_veins_complete_new,0.2010050251256281,0.20918435784915224,-0.269654846228419,0.5455306578606035
4_veins_complete_new,0.2060301507537688,0.19308159533113173,-0.2631246310670379,0.542920681338428
4_veins_complete_new,0.2110552763819095,0.17890203306956565,-0.2575032708260199,0.539301152208479
4_veins_complete_new,0.2160804020100502,0.17317617449659756,-0.24345843399046352,0.5360317107726899
4_veins_complete_new,0.2211055276381909,0.18556272309470379,-0.21608933351910048,0.5342163038633863
4_veins_complete_new,0.2261306532663316,0.20073126307072658,-0.188363563108776,0.5344300599337141
4_veins_complete_new,0.2311557788944723,0.21449078236300545,-0.16324105444982911,0.5349911713354378
4_veins_complete_new,0.236180904522613,0.24039418714139005,-0.1331258587673585,0.5369556296341605
4_veins_complete_new,0.2412060301507537,0.26954678808234533,-0.10159109805256811,0.5393120559579965
4_veins_complete_new,0.2462311557788944,0.2993327226717173,-0.0698834715560628,0.5419011820445327
4_veins_complete_new,0.2512562814070351,0.3273519392515285,-0.046184397629916704,0.5422092633151441
4_veins_complete_new,0.2562814070351759,0.35276445491540726,-0.0366429930801764,0.5371000317606329
4_veins_complete_new,0.2613065326633166,0.37836511830534336,-0.027007078861104296,0.5307824164536619
4_veins_complete_new,0.2663316582914573,0.4053890684796619,-0.018361156645351796,0.5228226415105064
4_veins_complete_new,0.271356783919598,0.4323047697743511,-0.029507775889310597,0.5061528943095497
4_veins_complete_new,0.2763819095477387,0.4587461173256212,-0.0490917834344789,0.4857945175918849
4_veins_complete_new,0.2814070351758794,0.4873489549686125,-0.0703601227567754,0.4641588474596492
4_veins_complete_new,0.2864321608040201,0.5210129664170223,-0.0938562247633402,0.4417939128829483
4_veins_complete_new,0.2914572864321608,0.5667686559385378,-0.1243866691683808,0.4148404725631102
