experiment_name,normalized_time,Fx,Fy,Fz
4_veins_forewing_only_new,0.0,0.11942361121531914,-0.1666687361377211,-0.1895918140488579
4_veins_forewing_only_new,0.0050251256281407,0.16444050707835312,-0.1436434273532975,-0.14551282309440972
4_veins_forewing_only_new,0.0100502512562814,0.2094574029413872,-0.1206181185688741,-0.10143383213996143
4_veins_forewing_only_new,0.0150753768844221,0.2544742988044213,-0.0975928097844504,-0.057354841185513206
4_veins_forewing_only_new,0.0201005025125628,0.2906409106325904,-0.08685886510658421,-0.020447972506761503
4_veins_forewing_only_new,0.0251256281407035,0.3162492000081209,-0.08786216529955439,0.007047048469093986
4_veins_forewing_only_new,0.0301507537688442,0.3418574893836513,-0.0888654654925246,0.034542069444949586
4_veins_forewing_only_new,0.0351758793969849,0.3674540159856129,-0.0900176493047496,0.0619706360969241
4_veins_forewing_only_new,0.0402010050251256,0.3762396575946746,-0.1110440779719008,0.07984633815993292
4_veins_forewing_only_new,0.0452261306532663,0.3841220254801446,-0.1306783027806141,0.09652563709587486
4_veins_forewing_only_new,0.050251256281407,0.39200439336561493,-0.1503125275893275,0.1132049360318168
4_veins_forewing_only_new,0.0552763819095477,0.3981114285501475,-0.1677868266950667,0.132217315461107
4_veins_forewing_only_new,0.0603015075376884,0.4037825012044232,-0.1799827555094085,0.15692766881703324
4_veins_forewing_only_new,0.0653266331658291,0.409437794534743,-0.1921366435524834,0.18168362154946965
4_veins_forewing_only_new,0.0703517587939698,0.4150684283153923,-0.2041026643933142,0.20652937139440802
4_veins_forewing_only_new,0.0753768844221105,0.4257949095557991,-0.19608825065844437,0.24149528163557887
4_veins_forewing_only_new,0.0804020100502512,0.43660413179577107,-0.1893398513839579,0.2789791608413569
4_veins_forewing_only_new,0.0854271356783919,0.44739992626328073,-0.1826081165888146,0.31645244017926266
4_veins_forewing_only_new,0.0904522613065326,0.4596379756662805,-0.173002700078975,0.353848994418347
4_veins_forewing_only_new,0.0954773869346733,0.4719343949480581,-0.1601874362164015,0.3893799291962079
4_veins_forewing_only_new,0.100502512562814,0.4828108776335428,-0.1497230952860739,0.4238537878150441
4_veins_forewing_only_new,0.1055276381909547,0.49376430830369655,-0.1395307619734282,0.4581450942244801
4_veins_forewing_only_new,0.1105527638190954,0.5031567057902622,-0.14132475282690668,0.48243216201582284
4_veins_forewing_only_new,0.1155778894472361,0.5097782699292726,-0.1420490653961451,0.5006294907165145
4_veins_forewing_only_new,0.1206030150753768,0.5167280406474118,-0.1419276913009754,0.5185517683737298
4_veins_forewing_only_new,0.1256281407035175,0.5226876124510484,-0.1458845073147465,0.5342973206202668
4_veins_forewing_only_new,0.1306532663316583,0.5266204552778201,-0.1566656833469357,0.542477855982302
4_veins_forewing_only_new,0.135678391959799,0.5307753050085726,-0.1602916842261692,0.5504649190750274
4_veins_forewing_only_new,0.1407035175879397,0.5351329147818554,-0.1637462467490285,0.5587257444503484
4_veins_forewing_only_new,0.1457286432160804,0.5364448978882966,-0.16480751847820962,0.5686013282369279
4_veins_forewing_only_new,0.1507537688442211,0.5356362530072937,-0.16464464176989457,0.5799471554403193
4_veins_forewing_only_new,0.1557788944723618,0.5339739838580498,-0.16525148337664639,0.5922462007879591
4_veins_forewing_only_new,0.1608040201005025,0.5321062687888222,-0.1635685623948235,0.6053350098864166
4_veins_forewing_only_new,0.1658291457286432,0.5165687158499822,-0.16543587962599912,0.6196453493586265
4_veins_forewing_only_new,0.1708542713567839,0.4992811961218791,-0.1757984614660295,0.6342927074600939
4_veins_forewing_only_new,0.1758793969849246,0.48101982530383897,-0.18794399648771942,0.6481866991118087
4_veins_forewing_only_new,0.1809045226130653,0.45541337544871985,-0.2074087009548557,0.6578802445299754
4_veins_forewing_only_new,0.185929648241206,0.4210094513073797,-0.23779430782363598,0.6635957971747816
4_veins_forewing_only_new,0.1909547738693467,0.3884429945666025,-0.2724543786531083,0.6667863827431714
4_veins_forewing_only_new,0.1959798994974874,0.35575283907114513,-0.307297535944548,0.6683299106244741
4_veins_forewing_only_new,0.2010050251256281,0.32480322702521547,-0.3461614283775399,0.6631514922305475
4_veins_forewing_only_new,0.2060301507537688,0.297087713039415,-0.3825476103463737,0.6562140066899027
4_veins_forewing_only_new,0.2110552763819095,0.27247658170219013,-0.4144520615856136,0.647751287452855
4_veins_forewing_only_new,0.2160804020100502,0.2569655895601715,-0.4354087814647588,0.6399422313932865
4_veins_forewing_only_new,0.2211055276381909,0.25807797561056667,-0.4380647201809097,0.6336702941159778
4_veins_forewing_only_new,0.2261306532663316,0.26221215440666873,-0.43449641077730783,0.62703582321185
4_veins_forewing_only_new,0.2311557788944723,0.2664546439970451,-0.4266241083121818,0.621151084202102
4_veins_forewing_only_new,0.236180904522613,0.2915468780039391,-0.3920513248597373,0.6193643979352794
4_veins_forewing_only_new,0.2412060301507537,0.32171857296072026,-0.35127869377376686,0.6185069183282434
4_veins_forewing_only_new,0.2462311557788944,0.35094978102087593,-0.3097761926360272,0.6180597589874977
4_veins_forewing_only_new,0.2512562814070351,0.3804137456971539,-0.2666493950397557,0.6169376253336802
4_veins_forewing_only_new,0.2562814070351759,0.41413957816171204,-0.2250767020626041,0.612364105709291
4_veins_forewing_only_new,0.2613065326633166,0.4475365018834606,-0.1845734669494481,0.607657042483772
4_veins_forewing_only_new,0.2663316582914573,0.48008829857380236,-0.1458990369815517,0.60261146887661
4_veins_forewing_only_new,0.271356783919598,0.507821723958827,-0.1255145620730986,0.5898233106426679
